"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Antigua and Barbuda","ATG","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63113.8671875","63645.3515625","65948.265625","66371.984375","66515.1953125","68315.5390625","70435.703125","72299.8203125","74580.6875","75634.09375","76219.1328125","77826.640625","78436.9296875","80075.6015625","79801.3828125","79861.5390625","80314.171875","81096.6953125","82278.140625","82095.15625","82622.6796875","85011.3984375","86659.328125","88321.9765625","88756.859375","89982.8046875","90194.484375","91559.3828125",
"Austria","AUT","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71084.265625","71399.5625","71619.859375","70754.0390625","72325.5390625","75136.9921875","76753.3359375","79097.171875","80652.0390625","83141.0859375","83885.7421875","84197.84375","84496.90625","90169.2734375","89315.4921875","90841.1015625","91852.640625","91450.5","88005.0546875","88549.2421875","90058.0625","89771.40625","89290.2421875","90047.5390625","90672.484375","91395.3125","93507.7109375","95137.21875",
"Azerbaijan","AZE","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20594.83984375","15645.443359375","12015.125","9573.25","8344.90234375","8412.16015625","8887.7001953125","9765.279296875","10447.021484375","11524.5263671875","12277.3330078125","13154.9638671875","14182.9501953125","15054.755859375","18422.955078125","24047.181640625","29335.7890625","31550.662109375","33608.58984375","34437.38671875","33733.015625","33784.6484375","35098.76953125","35120.0703125","34904.54296875","33202.328125","32779.484375","33306.6953125",
"Burundi","BDI","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2425.3701171875","2437.44799804688","2275.55493164063","2183.251953125","2003.49304199219","1838.56701660156","1810.02197265625","1891.12194824219","1856.63098144531","1816.44396972656","1794.71997070313","1809.03796386719","1717.84094238281","1730.64099121094","1678.07104492188","1702.27001953125","1717.71105957031","1742.06201171875","1745.40100097656","1753.7939453125","1782.88598632813","1809.18505859375","1846.44104003906","1884.54895019531","1754.11999511719","1687.78002929688","1640.84802246094","1593.15100097656",
"Belgium","BEL","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82544.484375","82770.2890625","82707.3671875","85501.0546875","86504.40625","87950.9765625","90319.6015625","91751.359375","91953.9453125","92240.328125","94795.7109375","96290.2578125","97046.640625","98208.59375","98044.9609375","99855.2578125","100513.6328125","99891.875","98228.765625","99481.59375","101055.125","100974.6875","100868.015625","101583.921875","102617.375","103133.2265625","103229.3984375","103711.921875",
"Benin","BEN","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3809.43798828125","3783.81201171875","3857.5048828125","3780.97607421875","3863.7529296875","3908.85107421875","4008.11694335938","4042.63500976563","4130.369140625","4240.88818359375","4334.8828125","4403.17919921875","4404.73193359375","4450.8681640625","4383.751953125","4426.26513671875","4557.97607421875","4651.55517578125","4636.966796875","4606.90087890625","4691.7880859375","4772.26806640625","4954.3349609375","5098.326171875","5036.384765625","5071.60791015625","5174.65576171875","5307.39404296875",
"Burkina Faso","BFA","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2098.791015625","2061.02197265625","2091.21899414063","2072.84301757813","2141.912109375","2331.5390625","2425.44311523438","2546.78295898438","2678.5791015625","2670.85205078125","2795.81494140625","2859.73706054688","3018.47607421875","3106.5830078125","3324.8359375","3454.57495117188","3559.14501953125","3750.10498046875","3812.18505859375","3954.98608398438","4156.02490234375","4365.52587890625","4555.98388671875","4678.43603515625","4711.580078125","4811.130859375","4950.28076171875","5133.748046875",
"Bangladesh","BGD","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4047.35595703125","4140.8369140625","4207.1572265625","4235.6591796875","4311.3232421875","4373.1767578125","4438.51416015625","4532.162109375","4612.40478515625","4720.6689453125","4843.0732421875","4917.001953125","5036.4541015625","5169.69287109375","5377.80322265625","5594.85693359375","5897.10009765625","6167.76611328125","6434.3681640625","6567.7587890625","6886.51806640625","7224.58203125","7547.73583984375","7857.578125","8222.08984375","8648.794921875","8763.2841796875","9216.49609375",
"Bulgaria","BGR","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20830.283203125","19470.3984375","19744.58984375","20667.59765625","21691.376953125","22361.65234375","22656.17578125","23567.728515625","23190.54296875","25602.572265625","26917.95703125","28228.1953125","28762.044921875","29652.775390625","31625.02734375","32337.623046875","33219.765625","34127.35546875","34056.609375","36726.55859375","38777.8359375","39139.17578125","39505.328125","39451.1640625","40162.890625","41903.9453125","41541.96875","42994.00390625",
"Bahrain","BHR","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88015.9140625","90817.0703125","98885.890625","94908.53125","94902.453125","96435.4453125","96724.421875","98163.5546875","98489.203125","98829.6171875","94955.2265625","91688.8515625","89792.3828125","87998.3359375","85569.1171875","82267.203125","80231.9765625","77252.6484375","72973.9375","71300.5703125","71420.15625","72847.1015625","76007.9609375","78124.7109375","78308.140625","76956.5546875","75189.265625","72500.9296875",
"Bahamas, The","BHS","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66999.09375","64328.59375","61186.55078125","62185.22265625","61377.69140625","63446.40625","62510.58984375","62829.5078125","65914.0546875","67147.8984375","66638.4453125","67933.25","66376.4453125","64474.43359375","64625.3671875","62686.58984375","62195.7265625","59376.796875","59331.53515625","58793.69921875","58047.0234375","58285.30859375","58417.86328125","55788.8828125","54491.38671875","53341.7578125","53358.58984375","53657.44921875",
"Bosnia and Herzegovina","BIH","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4004.05810546875","3902.07690429688","4019.95703125","4688.52880859375","5903.6181640625","11452.857421875","15715.5498046875","18385.009765625","20549.279296875","21874.849609375","23068.80859375","24536.1015625","25646.373046875","27367.1875","29733.57421875","31512.837890625","32302.83984375","31674.873046875","31100.197265625","32937.2109375","33792.12890625","34189.3203125","35231.33984375","36199.76171875","37802.22265625","37928.08203125","36562.7578125","37964.75",
"Belarus","BLR","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18012.7734375","16730.23046875","16386.638671875","15171.033203125","14372.69140625","16045.2744140625","16286.8037109375","16985.9140625","17263.892578125","17929.1875","18520.830078125","19234.609375","20283.828125","22242.40625","23975.314453125","25984.521484375","27807.095703125","30236.896484375","30101.2890625","32264.71875","33952.55078125","34440.12109375","34704.36328125","35284.3046875","33987.125","33254.28515625","34303.828125","35758.046875",
"Belize","BLZ","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18341.048828125","20475.6015625","21392.4375","21285.736328125","21057.966796875","20746.921875","20121.361328125","20157.8671875","20476.361328125","21504.171875","21236.51171875","21623.140625","22799.904296875","22972.478515625","22633.162109375","22186.76953125","21196.970703125","20821.7421875","20484.09765625","20622.0625","20376.451171875","20606.9765625","19744.71875","20113.484375","20118.841796875","18919.78515625","18726.12109375","18642.841796875",
"Bermuda","BMU","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9715.4306640625","9635.7900390625","9797.34765625","9977.958984375","10145.0283203125","10296.9833984375","10496.1240234375","10728.2548828125","10522.1162109375","10519.1083984375","10388.8359375","10339.6845703125","10315.1767578125","10431.849609375","10562.1083984375","10731.0234375","11119.8203125","11468.384765625","11620.7119140625","11806.912109375","12128.177734375","12967.6181640625","13510.2060546875","13491.5419921875","14876.806640625","14417.7939453125","15333.2802734375","15584.7802734375",
"Brazil","BRA","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27084.3203125","26222.275390625","26549.076171875","27177.6328125","27642.390625","28442.396484375","28681.65234375","28395.65625","27854.6640625","28145.828125","27751.396484375","27628.994140625","27556.005859375","27996.677734375","28225.876953125","28682.173828125","29928.60546875","30603.337890625","30349.83203125","32379.701171875","33430.43359375","33272.890625","33738.23046875","33438.26171875","32327.80078125","32041.43359375","32253.955078125","32578.353515625",
"Barbados","BRB","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34537.015625","31693.646484375","32268.904296875","32398.751953125","31178.572265625","30698.4140625","31926.220703125","32146.6796875","31541.8671875","31758.140625","30915.2578125","31107.341796875","31834.2109375","31305.09765625","32235.966796875","33837.3671875","33853.08984375","34065.84375","33352.90625","33756.203125","34044.5859375","34701.0390625","34207.8984375","35436.3671875","35061.46484375","34617.89453125","35146.69140625","35691.2890625",
"Brunei Darussalam","BRN","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","208330.578125","211088.15625","204800.125","203774.21875","205177.03125","204458.484375","194786.84375","186944.109375","185944.734375","184390.46875","184895.15625","187985.015625","189135.640625","185673.890625","182025.765625","187154.03125","184566.421875","178392.046875","173704.5","175491.671875","178465.71875","177008.671875","170374.953125","163360.28125","161049.171875","156211.265625","157299.953125","167587.859375",
"Bhutan","BTN","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6274.955078125","6686.73388671875","6979.06494140625","7465.56591796875","8092.13818359375","8387.8251953125","8595.45703125","8771.6279296875","9070.806640625","9279.6181640625","9478.6279296875","9855.7666015625","9960.06640625","10005.3037109375","10204.361328125","10430.12109375","11878.5087890625","11960.4189453125","12382.537109375","13696.7578125","14765.3974609375","15479.607421875","15420.0078125","16310.359375","16419.3984375","17338.880859375","18144.162109375","19524.466796875",
"Botswana","BWA","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28787.56640625","29205.470703125","29616.91796875","30535.732421875","31552.935546875","32455.263671875","34009.234375","32837.22265625","34641.47265625","33648.3359375","33618.59765625","35601.2890625","37217.3515625","35946.05859375","35491.2265625","36205.78515625","37848.66015625","39049.078125","35409.11328125","40198.83984375","38884.16796875","37678.890625","39434.47265625","40057.21484375","38286.41796875","39025.140625","38859.9921875","39656.51953125",
"Central African Republic","CAF","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2320.251953125","2113.625","2066.0830078125","2107.42700195313","2193.97900390625","2063.60400390625","2125.4189453125","2171.037109375","2200.9150390625","2095.2099609375","2149.63305664063","2188.76611328125","2032.02294921875","2111.61401367188","2084.65209960938","2141.82788085938","2197.0029296875","2203.22094726563","2223.19702148438","2268.9599609375","2343.94604492188","2444.4541015625","1547.7099609375","1566.84704589844","1636.99304199219","1687.06994628906","1725.10998535156","1771.44799804688",
"Canada","CAN","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64394.30859375","65705.78125","67158.8203125","68804.2734375","69490.1953125","70110.2734375","71593.9296875","72481.09375","74227.2578125","76226.796875","76745.2890625","77275.3125","76718.3671875","77752","79140.234375","79793.8671875","79447.1015625","78973.2109375","77921.3828125","79204.8984375","80519.984375","80975.6171875","81873.84375","83735.1015625","83893.3984375","84553.265625","85695.65625","86436.5234375",
"Central Europe and the Baltics","CEB","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26600.7451607529","25442.4246406222","25989.7234936794","27209.2482518256","28877.4927574517","30245.654816495","30942.5027142532","31820.8766967207","33037.4815747063","35103.1703328607","36508.4341076541","39061.7199418672","40706.5114203876","43084.7653678878","44770.2943689871","46639.3238912307","48439.0078604388","49568.2448149332","48825.4178051658","50090.664140766","51948.6988659755","52160.215971419","52936.7605599617","53540.1437088875","54978.161014013","55998.8090017106","57408.5232427608","59517.1093083944",
"Switzerland","CHE","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85375.5625","85605.90625","85613.09375","87311.703125","86920.4375","86646.7890625","88966.1328125","89995.78125","90714.078125","94002.6875","93846.484375","93707.3828125","93895.734375","96452.78125","98796.796875","100385.3203125","102247.3125","101856.3203125","98882.90625","103103.5625","102215.25","101810.6953125","102560.890625","103277.1171875","103019.8828125","103063.375","103485.3984375","105459.7421875",
"Channel Islands","CHI","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64347.18359375","65551.2109375","66370.40625","68101.328125","70425.328125","72423.875","75221.8671875","76651.265625","78055.53125","80934.71875","81816.90625","82922.734375","84855.921875","88352.4765625","90334.84375","93468.0625","96290.546875","96405.0703125","92798.2578125","94964.9765625","97653.3671875","98370.0703125","99182.9296875","100132.2890625","101379.8984375","102502.734375","104333.09375","106952.03125",
"Chile","CHL","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25923.41796875","27783.4140625","28965.978515625","30199.451171875","31707.1640625","34026.6328125","35617.23828125","36500.09375","37317.94921875","38735.546875","39790.62109375","40473.70703125","40747.38671875","42510.75390625","43291.90234375","44507.4453125","45108.87890625","45250.5390625","44956.66015625","45067.94140625","45714","47207.4765625","48171.33203125","48475.3359375","48861.21484375","49118.7578125","49238.890625","50668.8359375",
"China","CHN","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2896.9580078125","3258.2548828125","3663.65405273438","4093.873046875","4497.07421875","4873.64013671875","5275.64892578125","5646.09716796875","6032.10400390625","6470.39501953125","6999.85205078125","7607.93310546875","8330.8056640625","9086.9384765625","10050.35546875","11256.2880859375","12775.4755859375","13987.0908203125","15267.6767578125","16830.279296875","18347.068359375","19731.52734375","21209.341796875","22718.783203125","24266.744140625","25878.248046875","27644.8671875","29498.53515625",
"Cote d'Ivoire","CIV","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8937.9580078125","8604.9287109375","8213.375","7904.27490234375","8096.5751953125","8477.5078125","8532.0595703125","8705.734375","8693.9677734375","8368.6064453125","8308.904296875","8127.35302734375","7951.8427734375","7991.244140625","8052.64892578125","8075.73583984375","8098.41015625","8190.60595703125","8406.4697265625","8460.1396484375","7992.41015625","8675.74609375","8975.4443359375","9511.5","10088.6123046875","10674.0244140625","11185.8740234375","11653.7412109375",
"Cameroon","CMR","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6862.34423828125","6478.884765625","5815.2998046875","5782.3828125","5819.81103515625","5915.98876953125","6056.36181640625","6153.22509765625","6242.0771484375","6242.9267578125","6325.86083984375","6365.14013671875","6415.92919921875","6584.7890625","6470.0078125","6455.77783203125","6535.0078125","6717.94287109375","6871.6630859375","7116.46484375","7189.89404296875","7288.88916015625","7452.64697265625","7645.3818359375","7841.85595703125","7951.42919921875","7958.10693359375","8049.4521484375",
"Congo, Dem. Rep.","COD","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3223.17602539063","2770.85498046875","2312.5390625","2148.8779296875","2093.18188476563","2008.35998535156","1849.19201660156","1777.7490234375","1671.98498535156","1515.11804199219","1444.80798339844","1446.59497070313","1482.28198242188","1532.63305664063","1575.32702636719","1634.83898925781","1710.82299804688","1791.07800292969","1821.47595214844","1924.98095703125","2036.17602539063","2154.1279296875","2261.5859375","2389.81909179688","2471.9951171875","2453.28002929688","2456.73803710938","2467.4580078125",
"Congo, Rep.","COG","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16808.302734375","16747.87109375","16068.025390625","14404.486328125","14705.3583984375","14865.673828125","14376.205078125","14466.9931640625","13563.939453125","14131.0078125","14228.662109375","14542.6953125","14189.212890625","14204.8232421875","14743.7724609375","14840.5107421875","13771.091796875","13966.3271484375","14494.5029296875","14909.7783203125","14661.681640625","14540.30859375","14707.6220703125","15282.33984375","15352.6162109375","14531.0126953125","13575.0380859375","13610.6982421875",
"Colombia","COL","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19590.7734375","19867.74609375","19490.32421875","20157.38671875","20724.884765625","21350.0234375","21566.283203125","21860.01953125","21822.931640625","22305.1875","20695.123046875","20898.5859375","20734.296875","21714.369140625","22030.1015625","23283.90234375","24672.0390625","24902.056640625","24100.6171875","24027.041015625","24696.56640625","24857.12109375","25616.490234375","26196.115234375","26407.390625","26839.2265625","27145.826171875","27491.767578125",
"Comoros","COM","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6798.9091796875","7170.615234375","7175.38916015625","6560.46923828125","6599.490234375","6316.9267578125","6372.89892578125","6249.44580078125","6182.44580078125","6652.0908203125","6603.59814453125","6558.05908203125","6489.1591796875","6401.9638671875","6373.35888671875","6325.9169921875","6159.68798828125","5979.43310546875","5928.97119140625","5869.21484375","5839.1328125","5826.30419921875","5841.755859375","5771.77783203125","5642.3671875","5588.6171875","5549.365234375","5608.47021484375",
"Cabo Verde","CPV","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5470.7919921875","5879.7861328125","6194.73486328125","7123.18701171875","7876.02783203125","8491.13671875","9148.35546875","10011.5869140625","10820.380859375","11988.4052734375","11816.0244140625","11994.912109375","12064.654296875","12765.1953125","13167.4765625","13698.8603515625","15125.12890625","15613.923828125","15079.8916015625","14878.57421875","15113.7568359375","14978.5947265625","14790.7998046875","14487.7724609375","14302.8271484375","14536.3349609375","14755.3056640625","15037.47265625",
"Costa Rica","CRI","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21727.9375","23043.068359375","23653.60546875","23824.43359375","23934.189453125","24546.798828125","24075.55078125","24254.470703125","24770.84375","25276.365234375","24760.310546875","25168.30078125","25620.845703125","26517.341796875","26007.16796875","27160.88671875","28005.732421875","28952.876953125","29280.619140625","30156.642578125","32701.994140625","31607.279296875","31653.3046875","32511.728515625","33752.4921875","35990.97265625","35942.53515625","36698.68359375",
"Caribbean small states","CSS","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25978.1441264011","25528.583308781","25959.2618893612","26015.8447924071","26460.6008622767","26961.5616380945","27551.9893492791","27893.8130799896","28762.4849996268","29323.4458562783","29571.48500382","30407.1786491438","31625.5280253454","32354.3794189545","32863.8730452654","34489.8763429058","34968.5606922568","35171.6094855387","34210.9871396882","34760.0958820654","34887.9635052998","35109.6303650411","35008.4922332114","34387.0741008081","34359.2491455027","32936.7271057489","32274.2034760323","32583.8843356175",
"Cuba","CUB","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21695.197265625","21465.65234375","21344.203125","21396.419921875","21765.3515625","22718.728515625","23665.548828125","24055.322265625","24486.857421875","24972.841796875","25202.408203125","25497.892578125","25862.462890625","27191.54296875","27811.515625","28940.724609375","29772.53515625","30540.638671875","29377.63671875","30706.580078125","31525.546875","33058.21875","33747.28515625","33989.4375","34270.828125","34799.19140625","35584.84765625","36390.08984375",
"Curacao","CUW","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39452.8984375","42244.6015625","41663.3359375","42951.83203125","45907.703125","45478.94921875","45475.61328125","47106.97265625","48454.4765625","49355.04296875","48415.87890625","48650.640625","48345.0859375","49198.85546875","50674.375","51203.84765625","51840.44140625","52656.36328125","51438.703125","51280.51953125","52341.359375","52691.421875","51558.359375","50051.421875","50359.6171875","51003.9765625","51172.984375","50618.23828125",
